#1	
double	T_HTF_inlet(2502,2)
7134342.783	69.82
7134352.834	69.81
7134362.834	69.79
7134372.834	69.79
7134382.785	69.77
7134392.785	69.76
7134402.786	69.75
7134412.836	69.74
7134422.837	69.72
7134432.837	69.70
7134442.787	69.70
7134452.838	69.70
7134462.838	69.69
7134472.839	69.68
7134482.789	69.67
7134492.840	69.65
7134502.840	69.63
7134512.790	69.60
7134522.791	69.59
7134532.841	69.56
7134542.842	69.55
7134552.842	69.54
7134562.793	69.51
7134572.793	69.50
7134582.793	69.48
7134592.794	69.47
7134602.844	69.45
7134612.845	69.42
7134622.795	69.40
7134632.846	69.39
7134642.846	69.36
7134652.846	69.34
7134662.847	69.34
7134672.847	69.32
7134682.848	69.31
7134692.848	69.29
7134702.849	69.26
7134712.849	69.25
7134722.849	69.23
7134732.850	69.22
7134742.800	69.21
7134752.851	69.19
7134762.851	69.17
7134772.852	69.15
7134782.802	69.13
7134792.852	69.11
7134802.803	69.09
7134812.803	69.07
7134822.804	69.05
7134832.854	69.04
7134842.805	69.02
7134852.855	69.01
7134862.805	68.98
7134872.856	68.97
7134882.856	68.97
7134892.807	68.93
7134902.807	68.91
7134912.808	68.88
7134922.808	68.86
7134932.808	68.84
7134942.859	68.83
7134952.859	68.81
7134962.810	68.79
7134972.810	68.78
7134982.861	68.74
7134992.811	68.72
7135002.861	68.70
7135012.862	68.69
7135022.862	68.67
7135032.863	68.65
7135042.813	68.62
7135052.864	68.56
7135062.864	68.57
7135072.864	68.56
7135082.815	68.55
7135092.815	68.54
7135102.866	68.51
7135112.816	68.49
7135122.817	68.49
7135132.867	68.47
7135142.817	68.45
7135152.818	68.44
7135162.818	68.41
7135172.869	68.39
7135182.869	68.39
7135192.870	68.36
7135202.820	68.35
7135212.870	68.33
7135222.871	68.29
7135232.871	68.28
7135242.822	68.26
7135252.822	68.24
7135262.823	68.24
7135272.873	68.21
7135282.823	68.20
7135292.874	68.17
7135302.824	68.15
7135312.825	68.13
7135322.875	68.12
