#1					
float	DNI_THTFin_vdot(1775,6)				
7123362.517	1.0	300.05	0.000000000	0.00	298.02
7123372.468	1.0	300.04	0.000000000	0.00	298.01
7123382.468	1.0	300.03	0.000000000	0.00	297.99
7123392.519	1.0	300.01	0.000000000	0.00	297.99
7123402.519	1.0	299.99	0.000000000	0.00	297.99
7123412.519	1.0	299.96	0.000000000	0.00	297.98
7123422.520	1.0	299.95	0.000000000	0.00	297.98
7123432.520	1.0	299.92	0.000000000	0.00	297.98
7123442.521	1.0	299.91	0.000000000	0.00	297.96
7123452.471	1.0	299.90	0.000000000	0.00	297.95
7123462.472	0.9	299.87	0.000000000	0.00	297.95
7123472.472	1.0	299.87	0.000000000	0.00	297.95
7123482.522	0.9	299.85	0.000000000	0.00	297.94
7123492.473	0.9	299.85	0.000000000	0.00	297.93
7123502.523	1.0	299.82	0.000000000	0.00	297.94
7123512.524	1.0	299.81	0.000000000	0.00	297.93
7123522.524	0.9	299.80	0.000000000	0.00	297.93
7123532.475	1.0	299.78	0.000000000	0.00	297.92
7123542.475	1.0	299.78	0.000000000	0.00	297.92
7123552.525	1.0	299.75	0.000000000	0.00	297.91
7123562.476	0.9	299.74	0.000000000	0.00	297.90
7123572.476	1.0	299.74	0.000000000	0.00	297.89
7123582.527	0.9	299.73	0.000000000	0.00	297.88
7123592.477	0.9	299.73	0.000000000	0.00	297.88
7123602.478	1.0	299.73	0.000000000	0.00	297.88
7123612.478	1.0	299.70	0.000000000	0.00	297.88
7123622.478	1.0	299.69	0.000000000	0.00	297.87
7123632.529	0.9	299.70	0.000000000	0.00	297.86
7123642.529	1.0	299.71	0.000000000	0.00	297.86
7123652.480	0.9	299.69	0.000000000	0.00	297.85
7123662.480	1.0	299.69	0.000000000	0.00	297.86
7123672.531	0.9	299.66	0.000000000	0.00	297.85
7123682.531	0.9	299.65	0.000000000	0.00	297.82
7123692.481	1.0	299.66	0.000000000	0.00	297.84
7123702.482	0.9	299.65	0.000000000	0.00	297.84
7123712.482	1.0	299.64	0.000000000	0.00	297.83
7123722.533	0.9	298.09	0.000000000	0.00	298.98
7123732.483	0.9	298.31	0.000000000	0.00	297.84
7123742.484	1.0	298.31	0.000000000	0.00	297.83
7123752.534	1.0	298.38	0.000000000	0.00	297.92
7123762.484	0.9	298.54	0.000000000	0.00	297.97
7123772.535	1.0	298.68	0.000000000	0.00	298.00
7123782.535	0.9	298.78	0.000000000	0.00	298.01
7123792.486	1.0	298.86	0.000000000	0.00	298.00
7123802.486	0.9	299.26	0.000000000	0.00	297.98
7123812.537	0.9	300.35	0.000000000	0.00	297.96
7123822.487	0.9	301.17	0.000000000	0.00	297.96
7123832.537	1.0	300.56	0.000000000	0.00	297.96
7123842.538	1.0	300.46	0.000000000	0.00	297.94
7123852.538	1.0	300.34	0.000000000	0.00	297.93
7123862.539	1.0	300.24	0.000000000	0.00	297.92
7123872.489	0.9	300.17	0.000000000	0.00	297.91
7123882.540	0.9	300.09	0.000000000	0.00	297.90
7123892.490	1.0	300.03	0.000000000	0.00	297.91
7123902.540	0.9	300.00	0.000000000	0.00	297.91
7123912.491	0.9	299.95	0.000000000	0.00	297.90
7123922.491	1.0	299.92	0.000000000	0.00	297.91
7123932.542	1.0	299.90	0.000000000	0.00	297.90
7123942.542	0.9	299.88	0.000000000	0.00	297.89
7123952.543	1.0	299.88	0.000000000	0.00	297.89
7123962.543	1.0	299.86	0.000000000	0.00	297.90
7123972.493	0.9	299.85	0.000000000	0.00	297.89
7123982.544	1.0	299.83	0.000000000	0.00	297.88
7123992.544	1.0	299.83	0.000000000	0.00	297.89
7124002.545	1.0	299.82	0.000000000	0.00	297.88
7124012.495	1.0	299.83	0.000000000	0.00	297.89
7124022.546	1.0	299.80	0.000000000	0.00	297.88
7124032.546	1.0	299.80	0.000000000	0.00	297.88
7124042.496	1.0	299.79	0.000000000	0.00	297.88
7124052.497	1.0	299.78	0.000000000	0.00	297.87
7124062.497	0.9	299.77	0.000000000	0.00	297.87
7124072.548	0.9	299.78	0.000000000	0.00	297.87
7124082.548	1.0	299.76	0.000000000	0.00	297.86
7124092.549	1.0	299.76	0.000000000	0.00	297.86
7124102.549	1.0	299.75	0.000000000	0.00	297.85
7124112.549	1.0	299.74	0.000000000	0.00	297.85
7124122.500	1.0	299.73	0.000000000	0.00	297.84
7124132.500	0.9	299.74	0.000000000	0.00	297.85
7124142.501	1.0	299.71	0.000000000	0.00	297.84
7124152.501	0.9	299.72	0.000000000	0.00	297.84
7124162.502	1.0	299.71	0.000000000	0.00	297.83
7124172.552	1.0	299.69	0.000000000	0.00	297.83
7124182.552	0.9	299.69	0.000000000	0.00	297.84
7124192.503	1.0	299.68	0.000000000	0.00	297.83
7124202.553	1.0	299.65	0.000000000	0.00	297.83
7124212.504	0.9	299.65	0.000000000	0.00	297.82
7124222.554	1.0	299.64	0.000000000	0.00	297.83
7124232.505	0.9	299.64	0.000000000	0.00	297.82
7124242.505	1.0	299.62	0.000000000	0.00	297.81
7124252.555	1.0	299.63	0.000000000	0.00	297.80
7124262.556	1.0	299.61	0.000000000	0.00	297.80
7124272.506	1.0	299.61	0.000000000	0.00	297.80
7124282.507	0.9	299.59	0.000000000	0.00	297.79
7124292.557	1.0	299.58	0.000000000	0.00	297.80
7124302.557	1.0	299.58	0.000000000	0.00	297.80
7124312.558	1.0	299.56	0.000000000	0.00	297.80
7124322.558	0.9	299.55	0.000000000	0.00	297.79
7124332.509	0.9	299.54	0.000000000	0.00	297.79
7124342.559	1.0	299.55	0.000000000	0.00	297.77
7124352.560	1.0	299.51	0.000000000	0.00	297.79
7124362.560	1.0	299.49	0.000000000	0.00	297.78
7124372.560	1.0	299.49	0.000000000	0.00	297.77
7124382.561	1.0	299.48	0.000000000	0.00	297.77
7124392.511	0.9	299.47	0.000000000	0.00	297.76
7124402.512	0.9	299.45	0.000000000	0.00	297.77
7124412.512	1.0	299.44	0.000000000	0.00	297.76
7124422.563	0.9	299.43	0.000000000	0.00	297.77
7124432.563	0.9	299.41	0.000000000	0.00	297.75
7124442.513	1.0	299.42	0.000000000	0.00	297.75
7124452.514	1.0	299.42	0.000000000	0.00	297.75
7124462.514	1.0	299.40	0.000000000	0.00	297.75
7124472.565	1.0	299.39	0.000000000	0.00	297.74
7124482.565	1.0	299.38	0.000000000	0.00	297.75
7124492.516	1.0	299.37	0.000000000	0.00	297.74
7124502.516	0.9	299.35	0.000000000	0.00	297.73
7124512.566	1.0	299.34	0.000000000	0.00	297.74
7124522.567	1.0	299.34	0.000000000	0.00	297.74
7124532.567	1.0	299.33	0.000000000	0.00	297.73
7124542.568	1.0	299.32	0.000000000	0.00	297.73
7124552.518	0.9	299.31	0.000000000	0.00	297.72
7124562.519	1.0	299.29	0.000000000	0.00	297.72
7124572.569	0.9	299.29	0.000000000	0.00	297.72
7124582.569	0.9	299.27	0.000000000	0.00	297.71
7124592.570	1.0	299.28	0.000000000	0.00	297.72
7124602.520	1.0	299.26	0.000000000	0.00	297.71
7124612.571	1.0	299.25	0.000000000	0.00	297.71
7124622.571	1.0	299.23	0.000000000	0.00	297.70
7124632.522	1.0	299.22	0.000000000	0.00	297.69
7124642.522	1.0	299.20	0.000000000	0.00	297.69
7124652.572	1.0	299.19	0.000000000	0.00	297.68
7124662.523	1.0	299.17	0.000000000	0.00	297.69
7124672.573	0.9	299.16	0.000000000	0.00	297.68
7124682.574	1.0	299.15	0.000000000	0.00	297.68
7124692.574	1.0	299.13	0.000000000	0.00	297.68
7124702.575	1.0	299.11	0.000000000	0.00	297.67
7124712.525	1.0	299.10	0.000000000	0.00	297.66
7124722.575	0.9	299.09	0.000000000	0.00	297.66
7124732.526	1.0	299.08	0.000000000	0.00	297.66
7124742.526	0.9	299.08	0.000000000	0.00	297.65
7124752.577	1.0	299.06	0.000000000	0.00	297.65
7124762.527	0.9	299.07	0.000000000	0.00	297.64
7124772.528	0.9	299.06	0.000000000	0.00	297.64
7124782.528	1.0	299.04	0.000000000	0.00	297.64
7124792.578	1.0	299.03	0.000000000	0.00	297.63
7124802.579	1.0	299.02	0.000000000	0.00	297.62
7124812.579	0.9	298.99	0.000000000	0.00	297.61
7124822.580	0.9	298.98	0.000000000	0.00	297.63
7124832.580	0.9	298.99	0.000000000	0.00	297.62
7124842.581	1.0	298.96	0.000000000	0.00	297.61
7124852.581	1.0	298.94	0.000000000	0.00	297.61
7124862.531	0.9	298.92	0.000000000	0.00	297.60
7124872.582	1.0	298.92	0.000000000	0.00	297.60
7124882.582	1.0	298.91	0.000000000	0.00	297.59
7124892.533	0.9	298.89	0.000000000	0.00	297.58
7124902.583	1.0	298.86	0.000000000	0.00	297.58
7124912.534	0.9	298.86	0.000000000	0.00	297.58
7124922.584	0.9	298.84	0.000000000	0.00	297.57
7124932.534	0.9	298.82	0.000000000	0.00	297.56
7124942.535	0.9	298.81	0.000000000	0.00	297.56
7124952.585	1.0	298.78	0.000000000	0.00	297.55
7124962.536	1.0	298.78	0.000000000	0.00	297.56
7124972.586	1.0	298.76	0.000000000	0.00	297.55
7124982.537	1.0	298.74	0.000000000	0.00	297.55
7124992.537	0.9	298.73	0.000000000	0.00	297.54
7125002.587	0.9	298.72	0.000000000	0.00	297.54
7125012.538	0.9	298.70	0.000000000	0.00	297.51
7125022.588	1.0	298.70	0.000000000	0.00	297.53
7125032.589	1.0	298.68	0.000000000	0.00	297.52
7125042.589	0.9	298.67	0.000000000	0.00	297.50
7125052.590	1.0	298.64	0.000000000	0.00	297.50
7125062.540	1.0	298.64	0.000000000	0.00	297.51
7125072.590	1.0	298.64	0.000000000	0.00	297.51
7125082.591	1.0	298.62	0.000000000	0.00	297.51
7125092.591	1.0	298.61	0.000000000	0.00	297.49
7125102.592	1.0	298.61	0.000000000	0.00	297.49
7125112.592	0.9	298.60	0.000000000	0.00	297.47
7125122.593	1.0	298.59	0.000000000	0.00	297.48
7125132.543	0.9	298.60	0.000000000	0.00	297.46
