#1	
float	DNI(1780,2)
7135922.851	1.2
7135932.901	1.2
7135942.902	1.2
7135952.902	1.2
7135962.852	1.2
7135972.853	1.2
7135982.853	1.2
7135992.904	1.2
7136002.854	1.2
7136012.855	1.2
7136022.855	1.2
7136032.905	1.2
7136042.906	1.2
7136052.856	1.2
7136062.907	1.2
7136072.857	1.1
7136082.908	1.2
7136092.858	1.2
7136102.908	1.2
7136112.909	1.2
7136122.909	1.2
7136132.91	1.2
7136142.91	1.2
7136152.861	1.2
7136162.911	1.2
7136172.911	1.2
7136182.862	1.2
7136192.862	1.2
7136202.913	1.2
7136212.863	1.2
7136222.914	1.2
7136232.864	1.2
7136242.914	1.2
7136252.865	1.2
7136262.865	1.3
7136272.916	1.2
7136282.916	1.2
7136292.917	1.2
7136302.867	1.2
7136312.867	1.2
7136322.918	1.2
7136332.868	1.2
7136342.869	1.2
7136352.919	1.2
7136362.87	1.2
7136372.87	1.2
7136382.92	1.2
7136392.921	1.2
7136402.871	1.3
7136412.872	1.2
7136422.922	1.2
7136432.873	1.2
7136442.873	1.2
7136452.873	1.2
7136462.874	1.2
7136472.874	1.2
7136482.875	1.2
7136492.875	1.2
7136502.926	1.2
7136512.876	1.3
7136522.926	1.2
7136532.927	1.2
7136542.927	1.2
7136552.878	1.2
7136562.878	1.1
7136572.929	1.2
7136582.879	1.2
7136592.879	1.2
7136602.93	1.2
7136612.93	1.2
7136622.881	1.3
7136632.931	1.2
7136642.882	1.2
7136652.932	1.2
7136662.932	1.2
7136672.883	1.2
7136682.883	1.2
7136692.884	1.2
7136702.884	1.2
7136712.885	1.2
7136722.885	1.2
7136732.885	1.3
7136742.936	1.2
7136752.936	1.2
7136762.937	1.2
7136772.887	1.2
7136782.938	1.2
7136792.888	1.2
7136802.938	1.3
7136812.939	1.3
7136822.889	1.2
7136832.89	1.2
7136842.89	1.2
7136852.891	1.2
7136862.891	1.2
7136872.891	1.2
7136882.942	1.2
7136892.892	1.2
7136902.893	1.2
7136912.943	1.2
7136922.944	1.2
7136932.944	1.2
7136942.894	1.2
7136952.895	1.2
7136962.945	1.2
7136972.946	1.2
7136982.896	1.2
7136992.897	1.3
7137002.947	1.2
7137012.947	1.2
7137022.948	180.8
7137032.898	202.1
7137042.899	660.1
7137052.899	662.9
7137062.9	663.1
7137072.9	664.4
7137082.95	664.8
7137092.901	664.5
7137102.951	664.4
7137112.902	665.2
7137122.952	665.8
7137132.953	666.1
7137142.903	666
7137152.903	665.8
7137162.954	666.3
7137172.904	665.6
7137182.955	666.2
7137192.905	665.7
7137202.956	666.2
7137212.956	667.1
7137222.956	666
7137232.957	666.6
7137242.907	666
7137252.958	665.9
7137262.958	665.6
7137272.959	665.8
7137282.909	665.6
7137292.959	665.6
7137302.91	665.6
7137312.91	665.2
7137322.961	664.4
7137332.911	664.7
7137342.912	663.7
7137352.962	663
7137362.962	662
7137372.913	663.1
7137382.963	662.7
7137392.964	662.3
7137402.964	663.8
7137412.965	663.9
7137422.915	663.7
7137432.965	664.6
7137442.916	663.3
7137452.966	664.4
7137462.967	666.5
7137472.967	668.9
7137482.918	668.7
7137492.918	669.3
7137502.968	668.3
7137512.969	668.4
7137522.919	668
7137532.97	668.8
7137542.92	667.8
7137552.921	668.7
7137562.971	669.1
7137572.921	668.4
7137582.922	668.4
7137592.922	668
7137602.923	669
7137612.923	670.3
7137622.924	669.1
7137632.924	668.7
7137642.974	668.6
7137652.925	669.5
7137662.925	668.4
7137672.926	667.9
7137682.926	667.4
7137692.977	666.7
7137702.927	666.3
7137712.977	665.8
7137722.978	665.5
7137732.928	667
7137742.979	666.3
7137752.929	667.3
7137762.93	666.6
7137772.98	667.6
7137782.98	667.7
7137792.931	668
7137802.931	667.9
7137812.932	667.2
7137822.932	667.4
7137832.983	665.4
7137842.983	666.4
7137852.983	666.6
7137862.934	667
7137872.984	666.3
7137882.935	666.7
7137892.935	668.5
7137902.936	669.4
7137912.986	669.3
7137922.986	668.1
7137932.987	667.5
7137942.937	668.3
7137952.938	670.4
7137962.988	672.9
7137972.939	673.5
7137982.989	673.7
7137992.989	673.7
7138002.99	673.2
7138012.94	672.8
7138022.941	672.6
7138032.941	672.5
7138042.942	672.4
7138052.992	673.3
7138062.942	674.1
7138072.993	673.8
7138082.943	674
7138092.994	673.8
7138102.944	674.5
7138112.945	675
7138122.945	673.8
7138132.945	674
7138142.996	673.6
7138152.946	673.7
7138162.947	672.6
7138172.947	672.1
7138182.948	672.1
7138192.948	671.4
7138202.998	671.1
7138212.999	671.3
7138222.949	672
7138232.95	671.3
7138243	671.1
7138252.951	671
7138262.951	670.3
7138273.001	671.6
7138282.952	670.2
7138292.952	669.6
7138302.953	670
7138312.953	669.3
7138322.954	669.9
7138333.004	669.4
7138343.004	669.6
7138352.955	669.8
7138363.005	669.8
7138372.956	670.4
7138382.956	669.4
7138392.957	669.4
7138402.957	669.9
7138412.957	669.4
7138422.958	669.2
7138432.958	668.5
7138442.959	669.7
7138452.959	669.9
7138462.96	669.6
7138472.96	670.1
7138482.96	669.7
7138492.961	668.6
7138502.961	669.2
7138513.012	667.8
7138522.962	666.9
7138533.012	667.1
7138543.013	666.5
7138552.963	665.7
7138563.014	665.4
7138572.964	663.8
7138582.965	664
7138592.965	663.8
7138603.015	663.1
7138613.016	663.1
7138623.016	663
7138632.967	662.5
7138642.967	664.3
7138652.968	663.9
7138663.018	664.2
7138673.018	664.5
7138683.019	664.3
7138693.019	664.6
7138702.97	666
7138712.97	667
7138723.021	669.2
7138732.971	670.7
7138743.021	670.9
7138753.022	671.5
7138762.972	672.7
7138773.023	672.8
7138782.973	673.7
7138792.974	674.1
7138802.974	674.9
7138812.974	675.5
