#1			
float	DNI_THTFin_vdot(1779,4)		
7129242.615	1	298.18	0
7129252.615	1	298.16	0
7129262.566	1	298.15	0
7129272.616	0.9	298.15	0
7129282.617	0.9	298.14	0
7129292.617	1	298.13	0
7129302.617	1	298.12	0
7129312.618	1	298.12	0
7129322.618	1	298.11	0
7129332.619	1	298.11	0
7129342.619	1	298.11	0
7129352.57	1	298.09	0
7129362.62	1	298.09	0
7129372.62	1	298.09	0
7129382.621	1	298.09	0
7129392.621	1	298.07	0
7129402.622	1	298.06	0
7129412.622	1	298.06	0
7129422.623	1	298.05	0
7129432.623	1	298.05	0
7129442.623	1	298.04	0
7129452.574	0.9	298.02	0
7129462.574	1	298.02	0
7129472.625	1	298.02	0
7129482.625	1	298.02	0
7129492.626	1	298	0
7129502.626	1	297.99	0
7129512.626	1	297.99	0
7129522.627	1	297.97	0
7129532.627	1	297.97	0
7129542.628	1	297.97	0
7129552.628	1	297.96	0
7129562.629	1	297.94	0
7129572.579	1	297.94	0
7129582.579	1	297.94	0
7129592.58	1	297.93	0
7129602.63	1.1	297.93	0
7129612.631	1	297.92	0
7129622.631	1	297.91	0
7129632.582	1	297.9	0
7129642.582	1	297.88	0
7129652.582	1	297.88	0
7129662.633	1	297.86	0
7129672.583	1	297.86	0
7129682.584	1	297.84	0
7129692.634	1	297.82	0
7129702.635	1	297.82	0
7129712.585	1	297.81	0
7129722.585	1	297.82	0
7129732.636	1	297.8	0
7129742.636	1	297.78	0
7129752.637	1	297.76	0
7129762.637	1	297.76	0
7129772.638	1	297.75	0
7129782.638	1.1	297.75	0
7129792.638	1	297.76	0
7129802.639	1	297.74	0
7129812.589	1	297.73	0
7129822.64	1	297.72	0
7129832.64	1	297.72	0
7129842.641	1	297.71	0
7129852.641	1.1	297.7	0
7129862.591	1	297.7	0
7129872.642	1	297.7	0
7129882.592	1	297.69	0
7129892.643	1	297.68	0
7129902.643	1	297.68	0
7129912.644	1	297.68	0
7129922.594	1	297.69	0
7129932.594	1	297.68	0
7129942.595	1	297.68	0
7129952.595	1	297.68	0
7129962.596	1	297.66	0
7129972.646	1	297.66	0
7129982.647	1	297.66	0
7129992.597	1	297.65	0
7130002.597	1	297.66	0
7130012.648	1	297.65	0
7130022.648	1	297.66	0
7130032.599	1	297.65	0
7130042.649	1	297.66	0
7130052.6	1	297.66	0
7130062.6	1	297.66	0
7130072.65	1	297.66	0
7130082.651	1.1	297.65	0
7130092.651	1	297.67	0
7130102.652	1	297.65	0
7130112.652	1.1	297.65	0
7130122.603	1	297.66	0
7130132.653	1	297.65	0
7130142.653	1.1	297.65	0
7130152.654	1	297.65	0
7130162.654	1.1	297.64	0
7130172.605	1	297.63	0
7130182.655	1	297.62	0
7130192.606	1.1	297.62	0
7130202.606	1	297.62	0
7130212.606	1.1	297.62	0
7130222.657	1	297.62	0
7130232.657	1	297.63	0
7130242.658	1	297.61	0
7130252.658	1	297.62	0
7130262.659	1	297.61	0
7130272.659	1	297.6	0
7130282.609	1.1	297.61	0
7130292.61	1	297.61	0
7130302.66	1	297.59	0
7130312.661	1	297.58	0
7130322.611	1.1	297.57	0
7130332.662	1.1	297.58	0
7130342.662	1.1	297.57	0
7130352.662	1.1	297.58	0
7130362.613	1.1	297.57	0
7130372.663	1.1	297.58	0
7130382.614	1	297.56	0
7130392.614	1	297.57	0
7130402.615	1	297.56	0
7130412.665	1	297.56	0
7130422.665	1.1	297.56	0
7130432.666	1.1	297.55	0
7130442.666	1	297.56	0
7130452.617	1	297.55	0
7130462.617	1	297.53	0
7130472.618	1.1	297.53	0
7130482.668	1	297.52	0
7130492.668	1	297.53	0
7130502.669	1.1	297.51	0
7130512.619	1	297.52	0
7130522.67	1.1	297.51	0
7130532.67	1	297.5	0
7130542.67	1.1	297.5	0
7130552.671	1	297.5	0
7130562.621	1.1	297.49	0
7130572.672	1	297.49	0
7130582.622	1.1	297.47	0
7130592.673	1.1	297.48	0
7130602.673	1.1	297.47	0
7130612.673	1.1	297.46	0
7130622.624	1	297.46	0
7130632.674	1.1	297.45	0
7130642.625	1.1	297.46	0
7130652.625	1.1	297.44	0
7130662.676	1.1	297.44	0
7130672.676	1.1	297.45	0
7130682.676	1.1	297.45	0
7130692.677	1.1	297.44	0
7130702.627	1.1	297.44	0
7130712.678	1.1	297.44	0
7130722.678	1.1	297.41	0
7130732.629	1.1	297.42	0
7130742.679	1.1	297.39	0
7130752.629	1	297.39	0
7130762.68	1.1	297.38	0
7130772.63	1.1	297.37	0
7130782.681	1.1	297.36	0
7130792.631	1.1	297.37	0
7130802.632	1.1	297.36	0
7130812.682	1	297.37	0
7130822.632	1	297.37	0
7130832.633	1.1	297.36	0
7130842.683	1.1	297.36	0
7130852.634	1	297.37	0
7130862.684	1.1	297.36	0
7130872.635	1.1	297.35	0
7130882.685	1.1	297.36	0
7130892.635	1.1	297.35	0
7130902.636	1.1	297.35	0
7130912.636	1.1	297.35	0
7130922.637	1	297.33	0
7130932.637	1.1	297.33	0
7130942.688	1.1	297.33	0
7130952.638	1.1	297.34	0
7130962.638	1.1	297.32	0
7130972.689	1	297.32	0
7130982.639	1.1	297.33	0
7130992.64	1.1	297.32	0
7131002.69	1	297.33	0
7131012.691	1.1	297.33	0
7131022.641	1.1	297.32	0
7131032.691	1.1	297.32	0
7131042.642	1.1	297.33	0
7131052.692	1.1	297.31	0
