#1	
float	Tpump(1780,2)
7137152.903	340.18
7137162.954	340.16
7137172.904	340.15
7137182.955	340.15
7137192.905	340.15
7137202.956	340.15
7137212.956	340.17
7137222.956	340.2
7137232.957	340.21
7137242.907	340.26
7137252.958	340.28
7137262.958	340.3
7137272.959	340.33
7137282.909	340.35
7137292.959	340.37
7137302.91	340.37
7137312.91	340.39
7137322.961	340.38
7137332.911	340.38
7137342.912	340.38
7137352.962	340.36
7137362.962	340.36
7137372.913	340.34
7137382.963	340.31
7137392.964	340.3
7137402.964	340.29
7137412.965	340.28
7137422.915	340.26
7137432.965	340.25
7137442.916	340.24
7137452.966	340.22
7137462.967	340.21
7137472.967	340.19
7137482.918	340.19
7137492.918	340.18
7137502.968	340.16
7137512.969	340.15
7137522.919	340.13
7137532.97	340.14
7137542.92	340.13
7137552.921	340.11
7137562.971	340.11
7137572.921	340.1
7137582.922	340.13
7137592.922	340.14
7137602.923	340.17
7137612.923	340.2
7137622.924	340.24
7137632.924	340.28
7137642.974	340.33
7137652.925	340.37
7137662.925	340.41
7137672.926	340.47
7137682.926	340.49
7137692.977	340.51
7137702.927	340.52
7137712.977	340.53
