#1	
double	mdot(2501,2)
7136892.892	1.36
7136902.893	1.36
7136912.943	1.36
7136922.944	1.36
7136932.944	1.36
7136942.894	1.36
7136952.895	1.36
7136962.945	1.36
7136972.946	1.36
7136982.896	1.36
7136992.897	1.36
7137002.947	1.36
7137012.947	1.36
7137022.948	1.36
7137032.898	1.36
7137042.899	1.36
7137052.899	1.36
7137062.900	1.36
7137072.900	1.36
7137082.950	1.36
7137092.901	1.36
7137102.951	1.36
7137112.902	1.36
7137122.952	1.36
7137132.953	1.36
7137142.903	1.36
7137152.903	1.36
7137162.954	1.36
7137172.904	1.36
7137182.955	1.36
7137192.905	1.36
7137202.956	1.36
7137212.956	1.36
7137222.956	1.36
7137232.957	1.36
7137242.907	1.36
7137252.958	1.36
7137262.958	1.36
7137272.959	1.35
7137282.909	1.35
7137292.959	1.35
7137302.910	1.35
7137312.910	1.35
7137322.961	1.35
7137332.911	1.35
7137342.912	1.35
7137352.962	1.35
7137362.962	1.35
7137372.913	1.35
7137382.963	1.35
7137392.964	1.35
7137402.964	1.35
7137412.965	1.35
7137422.915	1.35
7137432.965	1.35
7137442.916	1.35
7137452.966	1.35
7137462.967	1.35
7137472.967	1.35
7137482.918	1.35
7137492.918	1.35
7137502.968	1.35
7137512.969	1.35
7137522.919	1.35
7137532.970	1.35
7137542.920	1.35
7137552.921	1.35
7137562.971	1.35
7137572.921	1.35
7137582.922	1.35
7137592.922	1.35
7137602.923	1.35
7137612.923	1.35
7137622.924	1.35
7137632.924	1.35
7137642.974	1.35
7137652.925	1.35
7137662.925	1.35
7137672.926	1.35
7137682.926	1.35
7137692.977	1.35
7137702.927	1.35
