#1			
float	DNI_THTFin_vdot(1779,4)		
7127462.643	1.1	297.32	0
7127472.643	1	297.31	0
7127482.694	1.1	297.32	0
7127492.644	1.1	297.32	0
7127502.694	1.1	297.32	0
7127512.695	1.1	297.3	0
7127522.645	1.1	297.3	0
7127532.696	1.1	297.31	0
7127542.696	1.1	297.3	0
7127552.647	1.1	297.31	0
7127562.697	1.1	297.3	0
7127572.697	1.1	297.31	0
7127582.698	1.1	297.3	0
7127592.698	1.1	297.3	0
7127602.649	1.1	297.29	0
7127612.699	1.1	297.29	0
7127622.7	1.1	297.3	0
7127632.65	1.1	297.3	0
7127642.65	1	297.29	0
7127652.651	1.1	297.29	0
7127662.651	1.1	297.29	0
7127672.652	1.1	297.28	0
7127682.652	1.1	297.27	0
7127692.703	1.1	297.28	0
7127702.703	1.1	297.28	0
7127712.703	1.1	297.27	0
7127722.704	1.1	297.28	0
7127732.654	1.1	297.29	0
7127742.655	1.1	297.28	0
7127752.655	1.1	297.28	0
7127762.706	1.1	297.29	0
7127772.656	1.1	297.28	0
7127782.656	1.1	297.29	0
7127792.707	1.1	297.29	0
7127802.707	1.1	297.28	0
7127812.658	1.1	297.29	0
7127822.658	1.1	297.27	0
7127832.659	1.1	297.29	0
7127842.709	1.1	297.28	0
7127852.709	1.1	297.31	0
7127862.71	1.1	297.29	0
7127872.66	1.1	297.29	0
7127882.711	1.1	297.29	0
7127892.711	1.1	297.27	0
7127902.712	1.1	297.28	0
7127912.712	1.1	297.28	0
7127922.712	1.1	297.27	0
7127932.663	1.1	297.27	0
7127942.663	1.1	297.26	0
7127952.714	1.1	297.26	0
7127962.664	1.1	297.27	0
7127972.665	1.1	297.26	0
7127982.715	1.1	297.26	0
7127992.665	1.1	297.25	0
7128002.716	1.1	297.27	0
7128012.716	1.1	297.25	0
7128022.667	1.1	297.26	0
7128032.667	1.1	297.24	0
7128042.668	1.1	297.24	0
7128052.718	1.1	297.25	0
7128062.668	1.1	297.25	0
7128072.719	1.1	297.23	0
7128082.719	1.1	297.23	0
7128092.67	1.1	297.22	0
7128102.67	1.1	297.24	0
7128112.671	1.1	297.23	0
7128122.721	1.1	297.22	0
7128132.721	1.1	297.22	0
7128142.722	1.2	297.23	0
7128152.722	1.1	297.24	0
7128162.723	1.1	297.23	0
7128172.723	1.2	297.24	0
7128182.724	1.1	297.23	0
7128192.674	1.1	297.24	0
7128202.674	1	297.24	0
7128212.675	1.1	297.24	0
7128222.675	1.1	297.24	0
7128232.676	1.1	297.23	0
7128242.726	1	297.24	0
7128252.677	1.1	297.23	0
7128262.727	1.1	297.24	0
7128272.727	1.1	297.24	0
7128282.678	1.1	297.24	0
7128292.678	1.1	297.23	0
7128302.679	1.2	297.23	0
7128312.729	1.1	297.23	0
7128322.73	1.1	297.23	0
7128332.73	1.2	297.22	0
7128342.73	1.1	297.22	0
7128352.681	1.1	297.23	0
7128362.731	1.1	297.23	0
7128372.732	1.1	297.22	0
7128382.682	1.2	297.21	0
7128392.733	1.1	297.21	0
7128402.733	1.2	297.22	0
7128412.733	1.1	297.21	0
7128422.734	1.1	297.22	0
7128432.734	1.1	297.22	0
7128442.735	1.1	297.21	0
7128452.735	1.1	297.21	0
7128462.736	1.1	297.22	0
7128472.736	1.2	297.24	0
7128482.686	1.1	297.23	0
7128492.737	1.2	297.22	0
7128502.737	1.1	297.22	0
7128512.738	1.1	297.23	0
7128522.688	1.1	297.23	0
7128532.689	1.1	297.24	0
7128542.739	1.1	297.25	0
7128552.739	1.1	297.23	0
7128562.69	1.2	297.22	0
7128572.74	1.1	297.23	0
7128582.741	1.2	297.23	0
7128592.691	1.2	297.23	0
7128602.692	1.1	297.23	0
7128612.742	1.2	297.22	0
7128622.692	1.2	297.22	0
7128632.693	1.1	297.22	0
7128642.693	1.1	297.22	0
7128652.744	1.1	297.21	0
7128662.694	1.1	297.22	0
7128672.745	1.1	297.21	0
7128682.745	1.1	297.2	0
7128692.745	1.1	297.2	0
7128702.696	1.1	297.21	0
7128712.696	1.2	297.2	0
7128722.747	1.1	297.19	0
7128732.697	1.2	297.2	0
7128742.748	1.2	297.18	0
7128752.748	1.1	297.18	0
7128762.748	1.2	297.18	0
7128772.749	1.1	297.18	0
7128782.699	1.2	297.17	0
7128792.75	1.1	297.17	0
7128802.7	1.1	297.18	0
7128812.751	1.2	297.16	0
7128822.751	1.1	297.18	0
7128832.701	1.1	297.17	0
7128842.752	1.2	297.17	0
7128852.752	1.2	297.19	0
7128862.753	1.1	297.17	0
7128872.703	1.2	297.18	0
7128882.754	1.1	297.19	0
7128892.704	1.2	297.19	0
7128902.754	1.2	297.19	0
7128912.755	1.2	297.19	0
7128922.755	1.2	297.19	0
7128932.756	1.2	297.19	0
7128942.756	1.2	297.18	0
7128952.757	1.2	297.19	0
7128962.707	1.2	297.19	0
7128972.707	1.2	297.18	0
7128982.758	1.1	297.19	0
7128992.708	1.2	297.18	0
7129002.709	1.1	297.17	0
7129012.759	1.1	297.18	0
7129022.76	1.2	297.19	0
7129032.76	1.2	297.18	0
7129042.76	1.2	297.18	0
7129052.761	1.1	297.19	0
7129062.761	1.1	297.19	0
7129072.762	1.1	297.19	0
7129082.712	1.2	297.2	0
7129092.713	1.1	297.19	0
7129102.763	1.2	297.18	0
7129112.763	1.1	297.19	0
7129122.714	1.2	297.18	0
7129132.764	1.2	297.19	0
7129142.765	1.1	297.18	0
7129152.765	1.2	297.18	0
7129162.766	1.2	297.17	0
7129172.766	1.2	297.18	0
7129182.766	1.1	297.17	0
7129192.767	1.2	297.17	0
7129202.767	1.2	297.17	0
7129212.768	1.1	297.17	0
7129222.768	1.2	297.16	0
7129232.719	1.2	297.18	0
7129242.719	1.1	297.16	0
7129252.769	1.1	297.17	0
7129262.72	1.2	297.17	0
7129272.77	1.2	297.17	0
7129282.771	1.2	297.16	0
7129292.721	1.2	297.17	0
7129302.772	1.1	297.16	0
7129312.772	1.2	297.16	0
7129322.722	1.2	297.16	0
7129332.723	1.2	297.14	0
7129342.773	1.2	297.14	0
7129352.724	1.2	297.14	0
7129362.774	1.2	297.13	0
7129372.775	1.2	297.13	0
7129382.775	1.1	297.14	0
7129392.725	1.2	297.13	0
7129402.776	1.2	297.13	0
7129412.776	1.2	297.13	0
7129422.777	1.2	296.93	0
7129432.777	1.1	296.74	0
7129442.778	1.2	297.11	0
7129452.728	1.1	297.72	0
7129462.778	1.2	298.01	0
7129472.779	1.2	298.35	0
7129482.779	1.2	298.76	0
7129492.73	1.2	299.19	0
7129502.78	1.2	299.88	0
7129512.781	1.1	301.91	0
