#1	
double	test(2502,2)
7136622.881	1.3
7136632.931	1.2
7136642.882	1.2
7136652.932	1.2
7136662.932	1.2
7136672.883	1.2
7136682.883	1.2
7136692.884	1.2
7136702.884	1.2
7136712.885	1.2
7136722.885	1.2
7136732.885	1.3
7136742.936	1.2
7136752.936	1.2
7136762.937	1.2
7136772.887	1.2
7136782.938	1.2
7136792.888	1.2
7136802.938	1.3
7136812.939	1.3
7136822.889	1.2
7136832.890	1.2
7136842.890	1.2
7136852.891	1.2
7136862.891	1.2
7136872.891	1.2
7136882.942	1.2
7136892.892	1.2
7136902.893	1.2
7136912.943	1.2
7136922.944	1.2
7136932.944	1.2
7136942.894	1.2
7136952.895	1.2
7136962.945	1.2
7136972.946	1.2
7136982.896	1.2
7136992.897	1.3
7137002.947	1.2
7137012.947	1.2
7137022.948	180.8
7137032.898	202.1
7137042.899	660.1
7137052.899	662.9
7137062.900	663.1
7137072.900	664.4
7137082.950	664.8
7137092.901	664.5
7137102.951	664.4
7137112.902	665.2
7137122.952	665.8
7137132.953	666.1
7137142.903	666.0
7137152.903	665.8
7137162.954	666.3
7137172.904	665.6
7137182.955	666.2
7137192.905	665.7
7137202.956	666.2
7137212.956	667.1
7137222.956	666.0
7137232.957	666.6
7137242.907	666.0
7137252.958	665.9
7137262.958	665.6
7137272.959	665.8
7137282.909	665.6
7137292.959	665.6
7137302.910	665.6
7137312.910	665.2
7137322.961	664.4
7137332.911	664.7
7137342.912	663.7
7137352.962	663.0
7137362.962	662.0
7137372.913	663.1
7137382.963	662.7
7137392.964	662.3
7137402.964	663.8
7137412.965	663.9
7137422.915	663.7
7137432.965	664.6
7137442.916	663.3
7137452.966	664.4
7137462.967	666.5
7137472.967	668.9
7137482.918	668.7
7137492.918	669.3
7137502.968	668.3
7137512.969	668.4
7137522.919	668.0
7137532.970	668.8
7137542.920	667.8
7137552.921	668.7
7137562.971	669.1
7137572.921	668.4
7137582.922	668.4
7137592.922	668.0
7137602.923	669.0
7137612.923	670.3
7137622.924	669.1
7137632.924	668.7
7137642.974	668.6
7137652.925	669.5
7137662.925	668.4
7137672.926	667.9
7137682.926	667.4
7137692.977	666.7
7137702.927	666.3
7137712.977	665.8
